,L_1_values,L_inf_values
500,4.492581525536121e-05,2.145302859509646e-06
501,4.489827426324606e-05,2.169885936542966e-06
502,4.490730901188416e-05,2.145276100522419e-06
503,4.4096269736227155e-05,2.1265093495920483e-06
504,4.4878538037069006e-05,2.1664304082758006e-06
505,4.4702563643838105e-05,2.1103848793329975e-06
506,4.482989608497732e-05,2.1775162389369312e-06
507,4.4193811869322626e-05,2.2888505894218157e-06
508,4.440874726603127e-05,2.140713515199169e-06
509,4.447964074272609e-05,2.0944599762147628e-06
510,4.489736553374119e-05,2.1176083201347917e-06
511,4.506011539151195e-05,2.200462006336804e-06
512,4.442427171241988e-05,2.098953225316209e-06
513,4.4932541633400006e-05,2.1454700365440312e-06
514,4.463914645733782e-05,2.126579386953746e-06
515,4.4560193703882714e-05,2.1123703592286193e-06
516,4.443559986763825e-05,2.1282883283149273e-06
517,4.399907062920696e-05,2.1373495397455386e-06
518,4.486407105474703e-05,2.102655038303297e-06
519,4.46561131574333e-05,2.19473377228259e-06
520,4.430142854060899e-05,2.1402367298727552e-06
521,4.4342200412267914e-05,2.116145335707494e-06
522,4.50229229781828e-05,2.141207457466236e-06
523,4.560660714742162e-05,2.243421505597052e-06
524,4.4617441691591535e-05,2.1675630203601803e-06
525,4.4801869394246875e-05,2.178167674762766e-06
526,4.483845275795955e-05,2.1168808591923736e-06
527,4.440683769667923e-05,2.093410467616049e-06
528,4.4026738937608444e-05,2.1129355168923494e-06
529,4.429644382108962e-05,2.137608005902965e-06
530,4.451153503210898e-05,2.1817130361038713e-06
531,4.416483681917444e-05,2.2401503964064867e-06
532,4.502981897524452e-05,2.19716218007723e-06
533,4.479771073322404e-05,2.151310209278595e-06
534,4.5578969563200284e-05,2.2373212482865755e-06
535,4.433345009897284e-05,2.1254436080227126e-06
536,4.582929913386392e-05,2.2723702195334284e-06
537,4.561060564674747e-05,2.2302879177628126e-06
538,4.445963716454524e-05,2.105101532099214e-06
539,4.405177248961924e-05,2.123026918956893e-06
540,4.506951026211694e-05,2.14716708119199e-06
541,4.435916045049363e-05,2.1034477580700724e-06
542,4.475227212518371e-05,2.1104116132893353e-06
543,4.482989561533206e-05,2.1486360905246686e-06
544,4.459640715479155e-05,2.1438108712443655e-06
545,4.47316105346413e-05,2.169156677840683e-06
546,4.429686700211361e-05,2.137522514010562e-06
547,4.3757693026667725e-05,2.1015103531118713e-06
548,4.4876167955567276e-05,2.187955945929257e-06
549,4.4439037282371064e-05,2.1304170367374776e-06
550,4.497556227387751e-05,2.186129147180084e-06
551,4.4588395874610776e-05,2.1081776911652215e-06
552,4.4773082053373176e-05,2.1913586882879357e-06
553,4.430927747302586e-05,2.172069082824854e-06
554,4.571582995174333e-05,2.242508854850497e-06
555,4.4595967111593603e-05,2.159159717871979e-06
556,4.447856369006338e-05,2.181922078780188e-06
557,4.560873704234313e-05,2.241836979275905e-06
